,Date,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Match Result,Points
0,2018-10-17,MIN,SAS,0,30:31,3,12,.250,0,2,.000,2,2,1.000,3,1,4,2,0,0,1,2,8,2.8,-1,L ,-4
1,2018-10-19,MIN,CLE,0,23:23,3,6,.500,0,1,.000,6,6,1.000,1,3,4,8,0,0,0,2,12,15.4,+20,W ,+8
2,2018-10-20,MIN,DAL,0,32:23,11,21,.524,2,5,.400,4,6,.667,2,3,5,5,2,1,3,3,28,21.2,-10,L ,-4
3,2018-10-22,MIN,IND,0,26:54,4,12,.333,0,4,.000,3,3,1.000,0,2,2,5,1,0,1,0,11,8.3,+3,W ,+10
4,2018-10-24,MIN,TOR,0,29:43,7,16,.438,2,3,.667,0,0,,1,2,3,5,0,0,2,1,16,10.0,-8,L ,-7
5,2018-10-26,MIN,MIL,0,26:43,5,13,.385,1,3,.333,3,5,.600,0,3,3,2,2,0,0,1,14,10.0,-10,L ,-30
6,2018-10-29,MIN,LAL,0,29:17,4,16,.250,0,1,.000,3,5,.600,4,3,7,7,0,0,2,0,11,7.2,+2,W ,+4
7,2018-10-31,MIN,UTA,1,40:51,19,31,.613,4,7,.571,8,11,.727,0,4,4,6,1,1,6,4,50,34.2,+10,W ,+3
8,2018-11-02,MIN,GSW,0,4:43,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,3,4.1,+3,L ,-17
9,2018-11-04,MIN,POR,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,L ,-30
10,2018-11-05,MIN,LAC,1,34:56,8,20,.400,1,3,.333,4,4,1.000,1,2,3,4,0,0,2,2,21,11.5,-8,L ,-11
11,2018-11-07,MIN,LAL,1,36:32,11,17,.647,7,9,.778,2,2,1.000,1,2,3,5,0,0,4,1,31,23.9,+11,L ,-4
12,2018-11-09,MIN,SAC,1,34:36,7,16,.438,3,6,.500,4,4,1.000,0,6,6,5,1,0,3,4,21,14.3,+9,L ,-11
13,2018-11-12,MIN,BRK,1,38:56,8,18,.444,3,5,.600,4,4,1.000,0,2,2,6,1,1,3,0,23,17.1,+3,W ,+7
14,2018-11-14,MIN,NOP,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+7
15,2018-11-16,MIN,POR,0,33:57,7,13,.538,0,1,.000,3,4,.750,0,7,7,6,0,0,2,0,17,14.6,+11,W ,+16
16,2018-11-18,MIN,MEM,0,29:49,6,11,.545,2,4,.500,4,4,1.000,0,3,3,3,1,0,2,0,18,14.7,+3,L ,-13
